id,lat,lng,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード
t_travospublic_measure_5m.25997457.202505201245,40.79714497,140.7363653,82,,2110255,1,20250520,1245,0,0,0,0,0,0,0,67,10,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997458.202505201245,40.79522814,140.7503128,82,,2110256,1,20250520,1245,49,2,0,0,0,0,0,0,0,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997459.202505201245,39.75613894,141.9645833,82,,2110258,1,20250520,1245,13,1,0,0,0,0,0,21,0,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997460.202505201245,37.76607775,140.4643813,82,,2110260,1,20250520,1245,52,2,0,0,0,0,0,57,3,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997461.202505201245,37.82286603,140.2786356,82,,2110270,1,20250520,1245,4,1,0,0,0,0,0,1,1,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997462.202505201245,37.89655075,140.1500818,82,,2110271,1,20250520,1245,15,10,0,0,0,0,0,15,4,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997463.202505201245,37.92749749,140.13487,82,,2110272,1,20250520,1245,17,14,0,0,0,0,0,12,3,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997464.202505201245,37.99971368,140.144949,82,,2110280,1,20250520,1245,39,7,0,0,0,0,0,29,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997465.202505201245,38.13027797,140.2258229,82,,2110290,1,20250520,1245,35,15,0,0,0,0,0,31,3,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997466.202505201245,38.1598141,140.3001308,82,,2110291,1,20250520,1245,42,4,0,0,0,0,0,46,5,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997467.202505201245,38.1007932,140.2046442,82,,2110292,1,20250520,1245,38,7,0,0,0,0,0,29,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997468.202505201245,37.76761368,140.8648291,82,,2110294,1,20250520,1245,18,4,0,0,0,0,0,7,1,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997469.202505201245,37.75423886,140.7090153,82,,2110295,1,20250520,1245,26,3,0,0,0,0,0,8,0,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997470.202505201245,37.7597832,140.5958156,82,,2110296,1,20250520,1245,8,5,0,0,0,0,0,7,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997471.202505201245,37.78113504,140.573819,82,,2110297,1,20250520,1245,4,5,0,0,0,0,0,15,0,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997472.202505201245,37.81669204,140.530266,82,,2110298,1,20250520,1245,6,5,0,0,0,0,0,17,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997473.202505201245,37.83294204,140.49615,82,,2110299,1,20250520,1245,8,3,0,0,0,0,0,7,1,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997475.202505201245,37.86878249,140.2279023,82,,2110301,1,20250520,1245,29,2,0,0,0,0,0,32,9,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997476.202505201245,38.3285783,140.3671432,82,,2110305,1,20250520,1245,50,12,0,0,0,0,0,81,8,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997477.202505201245,38.48098004,140.382831,82,,2110307,1,20250520,1245,8,0,0,0,0,0,0,39,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997480.202505201245,38.57581641,140.403707,82,,2110310,1,20250520,1245,16,1,0,0,0,0,0,22,3,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997482.202505201245,38.618266,140.3838155,82,,2110312,1,20250520,1245,29,16,0,0,0,0,0,20,6,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997483.202505201245,38.67663195,140.3212881,82,,2110313,1,20250520,1245,26,2,0,0,0,0,0,37,8,0,0,0,0,0,3,202505201245
