地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー
88,,8310090,1,20250628,1705,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,202506281705,33.16601659984814,133.133375644683,,,,,,,,,,,,
88,,8310110,1,20250628,1705,34,1,0,0,0,0,0,23,0,0,0,0,0,0,3,202506281705,33.4066250316014,132.509843,,,,,,,,,,,,
88,,8310120,1,20250628,1705,76,3,0,0,0,0,0,88,7,0,0,0,0,0,3,202506281705,33.504510031742804,132.56675,,,,,,,,,,,,
88,,8310130,1,20250628,1705,0,0,0,0,0,0,0,36,1,0,0,0,0,0,3,202506281705,33.53462955300938,132.597781419754,,,,,,,,,,,,
88,,8310140,1,20250628,1705,36,0,0,0,0,0,0,34,0,0,0,0,0,0,3,202506281705,33.6125750318981,132.68712,,,,,,,,,,,,
88,,8310150,1,20250628,1705,24,1,0,0,0,0,0,24,2,0,0,0,0,0,3,202506281705,34.0401782523243,134.018440246582,,,,,,,,,,,,
88,,8310160,1,20250628,1705,78,2,0,0,0,0,0,47,0,1,0,0,0,0,3,202506281705,33.89056122326423,132.757075130939,,,,,,,,,,,,
89,,9110010,1,20250628,1705,62,3,0,0,0,0,0,61,3,0,0,0,0,0,3,202506281705,33.86399103225591,130.750068,,,,,,,,,,,,
89,,9110040,1,20250628,1705,62,8,0,0,0,0,0,70,3,0,0,0,0,0,3,202506281705,32.565580030358504,130.688167,,,,,,,,,,,,
89,,9110050,1,20250628,1705,45,1,0,0,0,0,0,45,6,0,0,0,0,0,3,202506281705,32.50104503026118,130.627862,,,,,,,,,,,,
89,,9110060,1,20250628,1705,26,0,0,0,0,0,0,39,2,0,0,0,0,0,3,202506281705,31.848210029262603,130.249002,,,,,,,,,,,,
89,,9110070,1,20250628,1705,25,1,0,0,0,0,0,30,1,0,0,0,0,0,3,202506281705,31.65408502896101,130.444438,,,,,,,,,,,,
89,,9110090,1,20250628,1705,32,1,0,0,0,0,0,29,5,0,0,0,0,0,3,202506281705,33.56354563182774,131.1769035,,,,,,,,,,,,
89,,9110110,1,20250628,1705,186,2,0,0,0,0,0,173,2,3,0,0,0,0,3,202506281705,33.248593781371625,131.5788746,,,,,,,,,,,,
89,,9110120,1,20250628,1705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202506281705,32.83826903076675,131.716873,,,,,,,,,,,,
89,,9110140,1,20250628,1705,43,2,0,0,0,0,0,52,3,0,0,0,0,0,3,202506281705,32.26510002990319,131.560352,,,,,,,,,,,,
89,,9110150,1,20250628,1705,23,1,0,0,0,0,0,35,2,0,0,0,0,0,3,202506281705,31.853840029271314,131.136144,,,,,,,,,,,,
89,,9110160,1,20250628,1705,38,6,0,0,0,0,0,32,1,0,0,0,0,0,3,202506281705,31.710555029048958,130.774553,,,,,,,,,,,,
89,,9110180,1,20250628,1705,107,6,0,0,0,0,0,74,3,0,0,0,0,0,3,202506281705,31.647696028951053,130.604758,,,,,,,,,,,,
89,,9110190,1,20250628,1705,45,3,0,0,0,0,0,35,5,0,0,0,0,0,3,202506281705,33.3577350315305,130.488663,,,,,,,,,,,,
89,,9110200,1,20250628,1705,40,2,0,0,0,0,0,56,4,0,0,0,0,0,3,202506281705,33.19609887129489,130.0312792,,,,,,,,,,,,
89,,9110210,1,20250628,1705,,,,0,0,0,1,,,,0,0,0,1,3,202506281705,32.82226403074293,129.973018,,,,,,,,,,,,
89,,9110230,1,20250628,1705,18,0,0,0,0,0,0,15,2,0,0,0,0,0,3,202506281705,32.95195803093551,131.35466,,,,,,,,,,,,
89,,9110240,1,20250628,1705,54,2,0,0,0,0,0,35,1,0,0,0,0,0,3,202506281705,33.669370031979355,130.847832,,,,,,,,,,,,
89,,9110280,1,20250628,1705,37,2,0,0,0,0,0,45,2,0,0,0,0,0,3,202506281705,33.34785503151616,130.0187991,,,,,,,,,,,,
89,,9110290,1,20250628,1705,40,2,0,0,0,0,0,53,0,0,0,0,0,0,3,202506281705,32.97125925096407,130.445357,,,,,,,,,,,,
89,,9110330,1,20250628,1705,25,1,0,0,0,0,0,39,2,0,0,0,0,0,3,202506281705,31.397327868559113,130.7858165,,,,,,,,,,,,
89,,9110340,1,20250628,1705,52,0,0,0,0,0,0,48,0,0,0,0,0,0,3,202506281705,31.452851608646302,130.7281932,,,,,,,,,,,,
89,,9210010,1,20250628,1705,75,7,0,0,0,0,0,84,7,0,0,0,0,0,3,202506281705,33.592535911869355,130.4326835,,,,,,,,,,,,
89,,9310003,1,20250628,1705,53,3,0,0,0,0,0,68,4,0,0,0,0,0,3,202506281705,33.947867982374184,130.968647,,,,,,,,,,,,
89,,9310005,1,20250628,1705,249,8,0,0,0,0,0,284,13,0,0,0,0,0,3,202506281705,33.678664031992625,130.455156,,,,,,,,,,,,
89,,9310010,1,20250628,1705,125,14,0,0,0,0,0,118,8,0,0,0,0,0,3,202506281705,33.53840303179162,130.485852,,,,,,,,,,,,
